"","A","B","C","D","E","F","G","H","I","J"
"A",0.4054493480362,0.883246945682913,0.144229948986322,0.870241839671507,0.257175936829299,0.612907414790243,0.813813806511462,0.0326494493056089,0.326895684702322,0.781796685187146
"B",0.513318218989298,0.194862026721239,0.47310721129179,0.774694441817701,0.0520926339086145,0.684624288463965,0.440474124392495,0.366526872152463,0.766842171316966,0.49392364313826
"C",0.198631081962958,0.533464509993792,0.81643910612911,0.471239587059245,0.924184873234481,0.0219154981896281,0.116968868533149,0.849830275168642,0.90805433364585,0.672168342862278
"D",0.745432789670303,0.625095446128398,0.794815592002124,0.0181941038463265,0.833436976885423,0.472366891335696,0.0863340308424085,0.451476140646264,0.930929594673216,0.819887005258352
"E",0.583592468407005,0.366714145988226,0.760124212363735,0.0802501838188618,0.450777146033943,0.0897456312086433,0.587854331359267,0.885985451750457,0.527842672308907,0.109170969342813
"F",0.165350706316531,0.741136115975678,0.975300864549354,0.65597090520896,0.359069435391575,0.836049981648102,0.737818890949711,0.892588400747627,0.403687668498605,0.620240508578718
"G",0.194707417162135,0.621006097178906,0.646847151918337,0.398039676714689,0.0526465869043022,0.581962393363938,0.747046991018578,0.869492745725438,0.607131764525548,0.447490422055125
"H",0.71983549091965,0.74076767382212,0.190644738730043,0.984870402840897,0.0488455439917743,0.181996547849849,0.832864622818306,0.806862263008952,0.746429368387908,0.133605992421508
"I",0.110433045541868,0.637010380625725,0.748934813309461,0.765010458184406,0.221740741515532,0.557214498054236,0.889815977308899,0.164046435849741,0.0804675994440913,0.699066884350032
"J",0.563883373513818,0.246794519247487,0.13149582548067,0.68651526235044,0.303522350499406,0.749594471650198,0.929115494946018,0.296304159564897,0.4256733993534,0.697669867658988
